model,run,Hit@1,Hit@10,MRR
alinet,alinet_zh_en_0_3_20260718-200239,0.5127619206905365,0.8120476305484772,0.6206960380077362
bootea,bootea_zh_en_0_3_20260718-042649,0.5431904792785645,0.8510952293872833,0.6534306108951569
dgmc,dgmc_zh_en_20260718-202824,0.7549523809523809,0.8364761904761905,0.7847661972045898
gcnalign,gcnalign_zh_en_0_3_20260718-042428,0.3632380962371826,0.6790952384471893,0.4752567857503891
jape,jape_zh_en_0_3_20260718-042153,0.4119047522544861,0.7507142722606659,0.5247417688369751
kecg,kecg_zh_en_0_3_20260718-044645,0.49676190316677094,0.8546190559864044,0.618751585483551
mraea,mraea_zh_en_0_3_20260718-044957,0.7467619180679321,0.9358571469783783,0.8173134028911591
naea,naea_zh_en_0_3_20260718-203353,0.6282857060432434,0.8602857291698456,0.7108360528945923
rrea,rrea_zh_en_0_3_20260718-051146,0.8021904826164246,0.9459047615528107,0.8566946089267731
